title,url,category,publication_date
It's All Bullsh*t! On the Relationship Between Pseudoscience and Pseudophilosophy,https://medium.com/socrates-cafe/its-all-bullshit-on-the-relationship-between-pseudoscience-and-pseudophilosophy-3485ade26500,philosophy,2021-03-18
So You Want to Study Philosophy...,https://www.susanrigetti.com/philosophy,philosophy,2021-04-27
The Revolution Will Not Be Televised,https://archive.org/details/spokenwordrevolu0000elev/page/214/mode/2up?view=theater,poetry,1970
Crows,https://www.newyorker.com/magazine/2000/09/25/crows,poetry,2000-09-17
All of the Words on a Bottle of Rolling Rock Beer in a Different Order,https://web.archive.org/web/20040603022843/http://slate.msn.com/id/2101150/sidebar/2101284/ent/0/,poetry,2004-06-03
Want Song,https://www.mtpr.org/2015-07-13/want-song,poetry,2005-04-01
Two-Headed Calf,https://rolfpotts.com/two-headed-calf-by-laura-gilpin/,poetry,2008-01-01
Autopsy,https://pastebin.com/raw/npCuYjLj,poetry,2009-01-09
Nothing Is Too Small Not To Be Wondered About,https://thevalueofsparrows.wordpress.com/2017/05/20/poetry-nothing-is-too-small-not-to-be-wondered-about-by-mary-oliver/,poetry,2017-05-20
Miscreant Insects,https://twitter.com/mogwai_poet/status/1335354217335148546,poetry,2020-12-05
Nausicaä,https://www.newyorker.com/magazine/2023/06/12/nausicaa-frank-x-gaspar-poem,poetry,2023-06-12
Meat Eater No. 5,https://www.newyorker.com/magazine/2023/10/30/meat-eater-no-5-carmen-maria-machado-poem,poetry,2023-10-23
The Keep,https://www.newyorker.com/magazine/2023/11/20/the-keep,poetry,2023-11-13
To Explicate Meaning,https://pastebin.com/raw/kFML7mRK,poetry,
Productivity 101: An Introduction to The Pomodoro Technique,https://lifehacker.com/productivity-101-a-primer-to-the-pomodoro-technique-1598992730,productivity,2019-07-12
How a Lazy Bitch Like Me Learned To Be Productive,https://www.madisontaskett.com/lazy-bastard-productivity/,productivity,2020-05-10
The Case Against Collaboration,https://paulitaylor.com/2022/05/06/the-case-against-collaboration/,productivity,2022-05-06
Effective Spaced Repetition,https://borretti.me/article/effective-spaced-repetition,productivity,2023-04-10
Finish Your Projects,https://github.com/readme/guides/finish-your-projects,productivity,2023-06-13
Stopping at 90%,https://austinhenley.com/blog/90percent.html,productivity,2023-07-31
In This Essay I Will: On Distraction,https://www.theparisreview.org/blog/2023/08/23/in-this-essay-i-will-on-distraction/,productivity,2023-08-23
Why Aren't Smart People Happier?,https://experimentalhistory.substack.com/p/why-arent-smart-people-happier,psychology,2022-08-09
Notes on Puzzles,https://nabeelqu.substack.com/p/notes-on-puzzles,psychology,2023-07-11
"Second Person, Present Tense",https://www.baen.com/Chapters/9781618248992/9781618248992___2.htm,short fiction,2011-11-01
MMAcevedo,https://qntm.org/mmacevedo,short fiction,2021-01-04
Upstate,https://www.newyorker.com/magazine/2023/10/30/upstate-fiction-emma-cline,short fiction,2023-10-23
The Most Stylish Man Alive,https://dieworkwear.com/2019/04/20/the-most-stylish-man-alive/,style,2019-04-20
"How To Develop Good Taste, Pt. 1",https://dieworkwear.com/2022/08/26/how-to-develop-good-taste-pt-1/,style,2022-08-26
"How To Develop Good Taste, Pt. 2",https://dieworkwear.com/2022/09/14/how-to-develop-good-taste-pt-2/,style,2022-09-14
"How To Develop Good Taste, Pt. 3",https://dieworkwear.com/2022/09/23/how-to-develop-good-taste-pt-3/,style,2022-09-23
Articles of Interest - American Ivy,https://articlesofinterest.substack.com/p/american-ivy-chapter-1,style,2022-10-26
Why Nothing Works Anymore,https://www.theatlantic.com/technology/archive/2017/02/the-singularity-in-the-toilet-stall/517551/,technology,2017-02-23
The Rise and Demise of RSS ,https://twobithistory.org/2018/12/18/rss.html,technology,2018-12-18
The Bitter Lesson,http://www.incompleteideas.net/IncIdeas/BitterLesson.html,technology,2019-03-13
Socialism's DIY Computer,https://tribunemag.co.uk/2020/07/make-your-own-self-managed-socialist-microcomputer,technology,2020-07-12
How and Why I Stopped Buying New Laptops,https://solar.lowtechmagazine.com/2020/12/how-and-why-i-stopped-buying-new-laptops/,technology,2020-12-20
How To Take Back the Internet by Choosing the Internet Less Traveled,https://cheapskatesguide.org/articles/take-back-the-internet.html,technology,2021-04-01
The Small Website Discoverability Crisis,https://www.marginalia.nu/log/19-website-discoverability-crisis/,technology,2021-09-08
"Can ""Distraction-Free"" Devices Change the Way We Write?",https://www.newyorker.com/magazine/2021/12/20/can-distraction-free-devices-change-the-way-we-write,technology,2021-12-13
The Old Internet Shows Signs of Quietly Coming Back,https://cheapskatesguide.org/articles/old-internet-coming-back.html,technology,2022-01-24
Why We Should Have Markdown Rendered Websites,https://proofinprogress.com/posts/2022-11-10/why-we-should-have-markdown-rendered-websites.html,technology,2022-11-10
TikTok's Enshittification,https://pluralistic.net/2023/01/21/potemkin-ai/#hey-guys,technology,2023-01-21
The False Promise of ChatGPT,https://www.nytimes.com/2023/03/08/opinion/noam-chomsky-chatgpt-ai.html,technology,2023-03-08
"We Need More of Richard Stallman, Not Less",https://ploum.net/2023-06-19-more-rms.html,technology,2023-06-19
Generative AI Should Not Replace Thinking at My University,https://www.theatlantic.com/ideas/archive/2023/06/generative-artificial-intelligence-universities/674473/,technology,2023-06-22
Splitting the Web,https://ploum.net/2023-08-01-splitting-the-web.html,technology,2023-08-01
The Negative Impact of Mobile-First Web Design on Desktop,https://www.nngroup.com/articles/content-dispersion/,technology,2023-10-13
Internet Artifacts,https://neal.fun/internet-artifacts/,technology,2023-11-01
